personId,Name,BirthYear,DeathYear,Profession,KnownForTitles
nm0000119,Tia Carrere,NULL,NULL,"actress,soundtrack,producer","tt0105793,tt0275847,tt0207919,tt0111503"
nm0000120,Jim Carrey,1962,NULL,"actor,writer,producer","tt0109040,tt0315327,tt0120382,tt0338013"
nm0000122,Charles Chaplin,1889,1977,"writer,actor,director","tt0032553,tt0027977,tt0021749,tt0044837"
nm0000123,George Clooney,1961,NULL,"actor,producer,director","tt0465538,tt1124035,tt1193138,tt2177771"
nm0000124,Jennifer Connelly,1970,NULL,"actress,producer,visual_effects","tt0268978,tt0315983,tt0286716,tt0180093"
nm0000125,Sean Connery,1930,2020,"actor,producer,director","tt0055928,tt0117500,tt0094226,tt0091605"
nm0000126,Kevin Costner,1955,NULL,"actor,producer,writer","tt0119925,tt0099348,tt0102798,tt0103855"
nm0000127,Wes Craven,1939,2015,"writer,producer,director","tt0087800,tt0117571,tt0111686,tt0105121"
nm0000128,Russell Crowe,1964,NULL,"actor,producer,director","tt1707386,tt0172495,tt0268978,tt0119488"
nm0000129,Tom Cruise,1962,NULL,"actor,producer,director","tt0092099,tt0181689,tt0116695,tt0117060"
nm0000130,Jamie Lee Curtis,1958,NULL,"actress,producer,director","tt0111503,tt1502407,tt6710474,tt0077651"
nm0000131,John Cusack,1966,NULL,"actor,producer,writer","tt0119229,tt0146882,tt0098258,tt0450385"
nm0000132,Claire Danes,1979,NULL,"actress,producer,soundtrack","tt0108872,tt1796960,tt0117509,tt0274558"
nm0000133,Geena Davis,1956,NULL,"producer,actress,writer","tt0103074,tt0116908,tt0091064,tt0104694"
nm0000134,Robert De Niro,1943,NULL,"actor,producer,director","tt0101540,tt0081398,tt1302006,tt0075314"
nm0000136,Johnny Depp,1963,NULL,"actor,producer,director","tt0408236,tt0325980,tt0449088,tt0383574"
nm0000138,Leonardo DiCaprio,1974,NULL,"producer,actor,writer","tt1375666,tt0407887,tt0120338,tt0993846"
nm0000139,Cameron Diaz,1972,NULL,"actress,producer,soundtrack","tt0160127,tt0259711,tt0129387,tt0119738"
nm0000140,Michael Douglas,1944,NULL,"actor,producer,director","tt1291580,tt0094291,tt0088011,tt0093010"
nm0000141,David Duchovny,1960,NULL,"actor,producer,director","tt0106179,tt0120902,tt0904208,tt0443701"
nm0000142,Clint Eastwood,1930,NULL,"actor,producer,director","tt1205489,tt0405159,tt0186566,tt0105695"
nm0000143,Erika Eleniak,1969,NULL,"actress,archive_footage","tt0105690,tt0083866,tt0094761,tt0106400"
nm0000144,Cary Elwes,1962,NULL,"actor,producer,miscellaneous","tt0387564,tt0093779,tt0107977,tt0119468"
nm0000146,Ralph Fiennes,1962,NULL,"actor,producer,director","tt0387131,tt2278388,tt0108052,tt20215234"
nm0000147,Colin Firth,1960,NULL,"actor,producer,writer","tt1315981,tt1504320,tt0243155,tt2802144"
nm0000148,Harrison Ford,1942,NULL,"actor,writer,producer","tt0082971,tt0076759,tt0106977,tt0090329"
nm0000149,Jodie Foster,1962,NULL,"actress,producer,director","tt0102926,tt0075314,tt0476964,tt0094608"
nm0000150,Michael J. Fox,1961,NULL,"actor,producer,miscellaneous","tt0088763,tt0096874,tt0116365,tt0115369"
nm0000151,Morgan Freeman,1937,NULL,"actor,producer,director","tt0114369,tt0097239,tt0468569,tt0405159"
nm0000152,Richard Gere,1949,NULL,"actor,producer,music_department","tt0299658,tt0100405,tt0084434,tt0119395"
nm0000153,Gina Gershon,1962,NULL,"actress,producer,writer","tt1726669,tt0115736,tt0114436,tt0119094"
nm0000154,Mel Gibson,1956,NULL,"actor,producer,director","tt0112573,tt0104714,tt0118883,tt0117438"
nm0000155,Whoopi Goldberg,1955,NULL,"actress,producer,writer","tt0099653,tt0105417,tt0088939,tt0108147"
nm0000156,Jeff Goldblum,1952,NULL,"actor,producer,writer","tt0107290,tt0091064,tt2278388,tt0116629"
nm0000157,Linda Hamilton,1956,NULL,"actress,soundtrack,archive_footage","tt0103064,tt6450804,tt0088247,tt0118928"
nm0000158,Tom Hanks,1956,NULL,"producer,actor,writer","tt0162222,tt0094737,tt0109830,tt0107818"
nm0000159,Teri Hatcher,1964,NULL,"actress,writer,director","tt0120347,tt0410975,tt0106057,tt0327597"
nm0000160,Ethan Hawke,1970,NULL,"actor,producer,writer","tt0139654,tt0112471,tt2209418,tt0381681"
nm0000161,Salma Hayek,1966,NULL,"actress,producer,director","tt0120679,tt0112851,tt0120891,tt0120655"
nm0000162,Anne Heche,1969,2022,"actress,producer,writer","tt0120828,tt0119008,tt0120885,tt0120461"
nm0000163,Dustin Hoffman,1937,NULL,"actor,producer,director","tt0084805,tt0095953,tt0064665,tt0079417"
nm0000164,Anthony Hopkins,1937,NULL,"actor,composer,producer","tt0102926,tt0412080,tt0975645,tt0113987"
nm0000165,Ron Howard,1954,NULL,"producer,actor,writer","tt0367279,tt0268978,tt0075213,tt0112384"
nm0000166,Helen Hunt,1963,NULL,"actress,producer,director","tt0119822,tt0117998,tt0103484,tt0455805"
nm0000167,Elizabeth Hurley,1965,NULL,"actress,producer,archive_footage","tt22805652,tt3597912,tt0118655,tt0230030"
nm0000168,Samuel L. Jackson,1948,NULL,"actor,producer,miscellaneous","tt0110912,tt3460252,tt4154664,tt0417148"
nm0000169,Tommy Lee Jones,1946,NULL,"actor,director,writer","tt2398231,tt0106977,tt0477348,tt0443272"
nm0000170,Milla Jovovich,1975,NULL,"actress,producer,director","tt0119116,tt1220634,tt0120804,tt1220198"
nm0000171,Ashley Judd,1968,NULL,"actress,producer,director","tt0150377,tt0470705,tt0244970,tt0119468"
nm0000172,Harvey Keitel,1939,NULL,"actor,producer,soundtrack","tt0105236,tt0103759,tt2278388,tt0110912"
nm0000173,Nicole Kidman,1967,NULL,"actress,producer,music_department","tt0203009,tt0274558,tt0935075,tt0276919"
nm0000174,Val Kilmer,1959,2025,"actor,producer,director","tt0101761,tt0120053,tt0096446,tt0373469"
nm0000175,Stephen King,1947,NULL,"writer,producer,actor","tt0091499,tt0083767,tt0111161,tt0324864"
nm0000177,Kevin Kline,1947,NULL,"actor,director,producer","tt0120891,tt0095159,tt0106673,tt0113117"
nm0000178,Diane Lane,1965,NULL,"actress,soundtrack,archive_footage","tt0250797,tt0328589,tt0086066,tt2096673"
nm0000179,Jude Law,1972,NULL,"actor,producer,director","tt0134119,tt0376541,tt0346156,tt2278388"
nm0000180,David Lean,1908,1991,"director,writer,editor","tt0056172,tt0059113,tt0050212,tt0038574"
nm0000183,Traci Lords,1968,NULL,"actress,producer,director","tt1984153,tt0099329,tt0120611,tt1007028"
nm0000184,George Lucas,1944,NULL,"writer,producer,director","tt0076759,tt0066434,tt0069704,tt0082971"
nm0000185,Dolph Lundgren,1957,NULL,"actor,producer,director","tt0089927,tt0093507,tt0098141,tt0105698"
nm0000186,David Lynch,1946,2025,"writer,director,producer","tt0098936,tt0460829,tt0105665,tt0166924"
nm0000190,Matthew McConaughey,1969,NULL,"actor,producer,director","tt0816692,tt0790636,tt1935179,tt1915581"
nm0000191,Ewan McGregor,1971,NULL,"actor,producer,writer","tt0203009,tt0117951,tt1322269,tt0120915"
nm0000193,Demi Moore,1962,NULL,"actress,producer,director","tt0119173,tt17526714,tt0107211,tt0099653"
nm0000194,Julianne Moore,1960,NULL,"actress,producer,soundtrack","tt0297884,tt0118749,tt0175880,tt0842926"
nm0000195,Bill Murray,1950,NULL,"actor,writer,producer","tt0335266,tt0128445,tt1748122,tt0362270"
nm0000196,Mike Myers,1963,NULL,"actor,writer,producer","tt0295178,tt0145660,tt0118655,tt0811138"
nm0000197,Jack Nicholson,1937,NULL,"actor,producer,writer","tt0071315,tt0119822,tt0407887,tt0073486"
nm0000198,Gary Oldman,1958,NULL,"actor,producer,director","tt0468569,tt1340800,tt4555426,tt0103874"
nm0000199,Al Pacino,1940,NULL,"actor,director,producer","tt0070666,tt0072890,tt0068646,tt0099422"
nm0000200,Bill Paxton,1955,2017,"actor,producer,writer","tt0090605,tt0264616,tt0112384,tt0117998"
nm0000201,Michelle Pfeiffer,1958,NULL,"actress,producer,soundtrack","tt0097322,tt0427327,tt0161081,tt0117247"
nm0000203,River Phoenix,1970,1993,"actor,soundtrack,archive_footage","tt0102494,tt0092005,tt0091557,tt0096018"
nm0000204,Natalie Portman,1981,NULL,"actress,producer,director","tt0947798,tt0434409,tt1619029,tt0120915"
nm0000205,Parker Posey,1968,NULL,"actress,producer,writer","tt0134084,tt0348150,tt0359013,tt0106677"
nm0000206,Keanu Reeves,1964,NULL,"actor,producer,miscellaneous","tt0133093,tt0111257,tt0102685,tt10366206"
nm0000207,Christina Ricci,1980,NULL,"actress,producer,soundtrack","tt0118789,tt0112642,tt0811080,tt0100140"
nm0000208,Molly Ringwald,1968,NULL,"actress,music_department,soundtrack","tt0088128,tt0088847,tt0091790,tt0095169"
nm0000209,Tim Robbins,1958,NULL,"actor,producer,director","tt0327056,tt0105151,tt0091225,tt0112818"
nm0000210,Julia Roberts,1967,NULL,"actress,producer,soundtrack","tt0100405,tt1322269,tt0376541,tt0195685"
nm0000211,Mimi Rogers,1956,NULL,"actress,producer,soundtrack","tt0210070,tt0120738,tt0488085,tt0118655"
nm0000213,Winona Ryder,1971,NULL,"actress,producer,director","tt0118583,tt0110367,tt0099487,tt0100140"
nm0000214,Mia Sara,1967,NULL,"actress,soundtrack,archive_footage","tt0111438,tt0091042,tt0089469,tt0312098"
nm0000216,Arnold Schwarzenegger,1947,NULL,"actor,producer,writer","tt0103064,tt0216216,tt0088247,tt0107362"
nm0000217,Martin Scorsese,1942,NULL,"producer,director,actor","tt5537002,tt0075314,tt0070379,tt0099685"
nm0000218,Kristin Scott Thomas,1960,NULL,"actress,director,writer","tt0280707,tt0116209,tt0109831,tt1602613"
nm0000221,Charlie Sheen,1965,NULL,"actor,producer,writer","tt0369179,tt0108333,tt0094291,tt0107144"
nm0000223,Elisabeth Shue,1963,NULL,"actress,producer,soundtrack","tt0113627,tt0092513,tt0120053,tt1190634"
nm0000224,Alicia Silverstone,1976,NULL,"actress,producer,soundtrack","tt0112697,tt0118688,tt0124298,tt0119086"
nm0000225,Christian Slater,1969,NULL,"actor,producer,director","tt0124198,tt0108399,tt0102798,tt0115759"
nm0000226,Will Smith,1968,NULL,"producer,actor,writer","tt0098800,tt0119654,tt0480249,tt0116629"
nm0000228,Kevin Spacey,1959,NULL,"actor,producer,writer","tt0114814,tt0119488,tt0169547,tt0114369"
nm0000229,Steven Spielberg,1946,NULL,"producer,writer,director","tt0108052,tt0083866,tt0120815,tt0082971"
nm0000230,Sylvester Stallone,1946,NULL,"actor,producer,writer","tt0075148,tt0089927,tt3076658,tt0095956"
nm0000231,Oliver Stone,1946,NULL,"director,producer,writer","tt0102138,tt0091763,tt0096969,tt0110632"
nm0000232,Sharon Stone,1958,NULL,"actress,producer,miscellaneous","tt0103772,tt0112641,tt0114214,tt0108162"
nm0000233,Quentin Tarantino,1963,NULL,"writer,producer,actor","tt0105236,tt0110912,tt0116367,tt7131622"
nm0000234,Charlize Theron,1975,NULL,"producer,actress,costume_designer","tt0340855,tt1392190,tt1735898,tt5610554"
nm0000235,Uma Thurman,1970,NULL,"actress,producer,writer","tt0266697,tt0378194,tt0118688,tt0110912"
nm0000236,Jennifer Tilly,1958,NULL,"actress,writer,soundtrack","tt0115736,tt0144120,tt0387575,tt0109348"
nm0000237,John Travolta,1954,NULL,"actor,producer,music_department","tt0110912,tt0113161,tt0077631,tt0076666"
nm0000239,Liv Tyler,1977,NULL,"actress,producer,soundtrack","tt0120591,tt0167260,tt0120737,tt0482606"
nm0000240,Skeet Ulrich,1970,NULL,"actor,director,producer","tt0117571,tt0115963,tt0409572,tt0913354"
nm0000241,Jean-Claude Van Damme,1960,NULL,"actor,producer,writer","tt0101764,tt0119013,tt0097659,tt0111301"
nm0000242,Mark Wahlberg,1971,NULL,"producer,actor,composer","tt0964517,tt0118749,tt0407887,tt1637725"
nm0000243,Denzel Washington,1954,NULL,"actor,producer,director","tt2671706,tt1037705,tt0168786,tt0139654"
nm0000244,Sigourney Weaver,1949,NULL,"actress,producer,soundtrack","tt0118583,tt0078748,tt0499549,tt0095243"
nm0000245,Robin Williams,1951,2014,"actor,writer,producer","tt0107614,tt0093105,tt0265459,tt0077053"
nm0000246,Bruce Willis,1955,NULL,"actor,producer,writer","tt0095016,tt0110912,tt0088571,tt0167404"
nm0000247,John Woo,1946,NULL,"director,producer,writer","tt0092263,tt0425637,tt0119094,tt0104684"
nm0000249,James Woods,1947,NULL,"actor,producer,director","tt0120877,tt0119282,tt0159097,tt0086541"
nm0000250,Renée Zellweger,1969,NULL,"actress,producer,writer","tt0299658,tt0159365,tt0116695,tt0243155"
nm0000251,Timothy Dowling,1973,NULL,"actor,writer,script_department","tt2120120,tt0181852,tt1596350,tt1564367"
nm0000255,Ben Affleck,1972,NULL,"producer,actor,writer","tt1024648,tt2267998,tt0840361,tt0119217"
nm0000257,Alan Alda,1936,NULL,"actor,miscellaneous,writer","tt0068098,tt0082405,tt7653254,tt0097123"
nm0000260,Joan Allen,1956,NULL,"actress,producer,soundtrack","tt3170832,tt0115988,tt0452608,tt0113987"
nm0000261,Karen Allen,1951,NULL,"actress,director,soundtrack","tt0082971,tt0088172,tt0367882,tt0077975"
nm0000262,Nancy Allen,1950,NULL,"actress,soundtrack,archive_footage","tt0080661,tt0107978,tt0093870,tt0100502"
nm0000267,Julie Andrews,1935,NULL,"actress,writer,producer","tt0059742,tt0058331,tt0084865,tt0062362"
nm0000269,Jean-Jacques Annaud,1943,NULL,"director,producer,writer","tt0091605,tt0215750,tt2909116,tt0120102"
nm0000270,Gabrielle Anwar,1970,NULL,"actress,producer,director","tt0108333,tt0114660,tt0105323,tt0810788"
nm0000273,Alan Arkin,1934,2023,"actor,director,writer","tt1024648,tt0449059,tt0104348,tt0099487"
nm0000274,David Arquette,1971,NULL,"producer,actor,director","tt0134084,tt0151738,tt0120082,tt0117571"
nm0000276,Sean Astin,1971,NULL,"actor,producer,director","tt0167261,tt0167260,tt0120737,tt0089218"
nm0000277,Richard Attenborough,1923,2014,"actor,producer,director","tt0107290,tt0057115,tt0083987,tt0119567"
nm0000278,Pernilla August,1958,NULL,"actress,director,writer","tt0120915,tt0104350,tt0115164,tt0121765"
nm0000279,Hank Azaria,1964,NULL,"actor,producer,writer","tt0096697,tt1839481,tt0115685,tt0118617"
nm0000284,Adam Baldwin,1962,NULL,"actor,soundtrack,archive_footage","tt0379786,tt0116629,tt0093058,tt0187393"
nm0000285,Alec Baldwin,1958,NULL,"actor,producer,music_department","tt0407887,tt1230414,tt0318374,tt0104348"
nm0000286,Stephen Baldwin,1966,NULL,"actor,producer,director","tt0114814,tt0115683,tt0158622,tt0111418"
nm0000288,Christian Bale,1974,NULL,"actor,producer,editorial_department","tt0468569,tt0372784,tt1345836,tt1800241"
nm0000290,John Barry,1933,2011,"music_department,composer,actor","tt0089755,tt0099348,tt0093428,tt0081534"
nm0000291,Angela Bassett,1958,NULL,"actress,producer,director","tt1825683,tt0114558,tt9114286,tt0118884"
nm0000293,Sean Bean,1959,NULL,"actor,producer,animation_department","tt0120737,tt1181791,tt0944947,tt0332452"
nm0000295,Kate Beckinsale,1973,NULL,"actress,producer,miscellaneous","tt3068194,tt0401855,tt0320691,tt0452702"
nm0000297,Tom Berenger,1949,NULL,"actor,producer,writer","tt0091763,tt1375666,tt0085244,tt0097815"
nm0000299,Michael Biehn,1956,NULL,"actor,producer,director","tt0090605,tt0088247,tt0117500,tt0096754"
nm0000300,Juliette Binoche,1964,NULL,"actress,art_department,miscellaneous","tt0116209,tt2452254,tt1219827,tt0108394"
nm0000301,Thora Birch,1982,NULL,"actress,producer,director","tt0162346,tt0169547,tt0114011,tt0107120"
nm0000304,Linda Blair,1959,NULL,"actress,producer,miscellaneous","tt0070047,tt0076009,tt0089964,tt0088044"
nm0000307,Helena Bonham Carter,1966,NULL,"actress,director,producer","tt0408236,tt0137523,tt1707386,tt1504320"
nm0000309,David Bowie,1947,2016,"music_artist,actor,composer","tt0091369,tt0074851,tt0482571,tt0196229"
nm0000310,Bruce Boxleitner,1950,NULL,"actor,producer,soundtrack","tt0105946,tt0084827,tt1104001,tt0871427"
nm0000312,Amy Brenneman,1964,NULL,"actress,producer,writer","tt0209069,tt0113277,tt0116287,tt0116040"
nm0000313,Jeff Bridges,1949,NULL,"actor,producer,art_department","tt0118715,tt1263670,tt1403865,tt0088172"
nm0000314,Charles Bronson,1921,2003,"actor,archive_footage","tt0071402,tt0064116,tt0057115,tt0054047"
nm0000317,Clancy Brown,1959,NULL,"actor,producer,miscellaneous","tt0111161,tt0120201,tt3501632,tt1179056"
nm0000318,Tim Burton,1958,NULL,"producer,writer,miscellaneous","tt0099487,tt1142977,tt0121164,tt0408236"
nm0000321,Gabriel Byrne,1950,NULL,"actor,producer,writer","tt0114814,tt0146675,tt0100150,tt7784604"
nm0000322,Emmanuelle Béart,1963,NULL,"actress,director,writer","tt0283832,tt0117060,tt0113947,tt0109731"
nm0000323,Michael Caine,1933,NULL,"actor,producer,miscellaneous","tt3312830,tt0468569,tt0482571,tt0069281"
nm0000325,David Caruso,1956,NULL,"actor,producer,archive_footage","tt0083944,tt0228750,tt0261983,tt0099939"
nm0000327,Lacey Chabert,1982,NULL,"actress,producer,writer","tt0377092,tt0120738,tt0277371,tt0454082"
nm0000329,Jackie Chan,1954,NULL,"producer,actor,stunts","tt0127357,tt0120812,tt0089374,tt0266915"
nm0000330,Stockard Channing,1944,NULL,"actress,soundtrack,archive_footage","tt0120791,tt0077631,tt0108149,tt0198021"
nm0000331,Chevy Chase,1943,NULL,"actor,writer,producer","tt0104850,tt0085995,tt0080487,tt0092086"
nm0000332,Don Cheadle,1964,NULL,"actor,producer,director","tt0375679,tt1540133,tt0988047,tt0790770"
nm0000334,Chow Yun-Fat,1955,NULL,"actor,writer,soundtrack","tt0190332,tt0120008,tt0092263,tt0104684"
nm0000336,James Coburn,1928,2002,"actor,producer,director","tt0057115,tt0054047,tt0056923,tt0074695"
nm0000338,Francis Ford Coppola,1939,NULL,"producer,director,writer","tt0078788,tt0071360,tt0071562,tt0068646"
nm0000341,Michael Crichton,1942,2008,"writer,producer,director","tt0107290,tt0117998,tt0070909,tt0108757"
nm0000342,James Cromwell,1940,NULL,"actor,producer,soundtrack","tt0119488,tt0120689,tt0144214,tt0117731"
nm0000343,David Cronenberg,1943,NULL,"actor,director,writer","tt0091064,tt0094964,tt0120907,tt0115964"
nm0000345,Billy Crystal,1948,NULL,"actor,writer,producer","tt0113097,tt0101587,tt0098635,tt0122933"
nm0000346,Macaulay Culkin,1980,NULL,"actor,producer,director","tt0099785,tt0102492,tt0107034,tt0104431"
nm0000348,Tony Curtis,1925,2010,"actor,producer,soundtrack","tt0051036,tt0053291,tt0054331,tt0066701"
nm0000349,Joan Cusack,1962,NULL,"actress,writer,soundtrack","tt0119360,tt0119229,tt0096463,tt1659337"
nm0000350,Beverly D'Angelo,1951,NULL,"actress,producer,soundtrack","tt0085995,tt0120434,tt0120586,tt0097958"
nm0000352,Vincent D'Onofrio,1959,NULL,"actor,producer,director","tt0119654,tt0209958,tt0093058,tt0109707"
nm0000353,Willem Dafoe,1955,NULL,"actor,producer,writer","tt0145487,tt6938828,tt5649144,tt7984734"
nm0000354,Matt Damon,1970,NULL,"producer,actor,writer","tt0119217,tt3659388,tt0407887,tt0134119"
nm0000355,Anthony Daniels,1946,NULL,"actor,producer,writer","tt2488496,tt2527336,tt0076759,tt0086190"
nm0000358,Daniel Day-Lewis,1957,NULL,"actor,writer,music_department","tt0469494,tt0104691,tt0443272,tt0217505"
nm0000361,Brian De Palma,1940,NULL,"director,writer,producer","tt0086984,tt0080661,tt0099165,tt0094226"
nm0000362,Danny DeVito,1944,NULL,"actor,producer,director","tt0117008,tt0098621,tt0103776,tt0091877"
nm0000363,Loren Dean,1969,NULL,"actor,soundtrack,archive_footage","tt2935510,tt7959026,tt0112384,tt0119177"
nm0000365,Julie Delpy,1969,NULL,"actress,writer,producer","tt0111507,tt0841044,tt0112471,tt0381681"
nm0000368,Laura Dern,1967,NULL,"actress,producer,writer","tt0107290,tt2305051,tt7653254,tt0090756"
nm0000369,Matt Dillon,1964,NULL,"actor,director,producer","tt0129387,tt0375679,tt0097240,tt4003440"
nm0000372,Amanda Donohoe,1962,NULL,"actress,producer,archive_footage","tt0095488,tt0119528,tt0090466,tt0110428"
nm0000374,Brad Dourif,1950,NULL,"actor,archive_footage,archive_sound","tt0073486,tt0167261,tt0087182,tt0099528"
nm0000375,Robert Downey Jr.,1965,NULL,"actor,producer,writer","tt0371746,tt1300854,tt0988045,tt4154796"
nm0000376,Fran Drescher,1957,NULL,"writer,actress,producer","tt0106080,tt0118691,tt0837562,tt0098546"
nm0000377,Richard Dreyfuss,1947,NULL,"actor,producer,writer","tt0076095,tt0075860,tt0073195,tt0113862"
nm0000378,Minnie Driver,1970,NULL,"actress,producer,soundtrack","tt0112679,tt0496343,tt0119217,tt5592146"
nm0000379,Kirsten Dunst,1982,NULL,"actress,producer,director","tt0145487,tt1527186,tt0110148,tt0110367"
nm0000380,Robert Duvall,1931,NULL,"actor,producer,director","tt0118632,tt0086423,tt1872194,tt0068646"
nm0000381,Anthony Edwards,1962,NULL,"actor,producer,director","tt0108757,tt0092099,tt0443706,tt0088000"
